City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Panama City,PA,8.9936,-79.5197,84.2,74,40,5.75,scattered clouds
80,Bambous Virieux,MU,-20.3428,57.7575,80.01,78,40,11.5,scattered clouds
81,Chumikan,RU,54.7183,135.315,26.44,98,100,4.47,overcast clouds
82,Mecca,SA,21.4267,39.8261,78.31,44,1,9.44,clear sky
83,Nichinan,JP,31.6,131.3667,52.61,68,18,8.55,few clouds
84,Lethem,GY,3.3803,-59.7968,89.08,53,85,6.31,overcast clouds
85,Ambon,ID,-3.6954,128.1814,79.65,79,91,3.02,overcast clouds
86,Ferme-Neuve,CA,46.7001,-75.4493,69.8,49,56,8.05,broken clouds
87,Touros,BR,-5.1989,-35.4608,86.0,66,75,12.66,broken clouds
88,Rongcheng,CN,30.634,117.8517,57.24,71,99,1.83,light rain
89,Altagracia De Orituco,VE,9.8601,-66.3814,86.76,50,99,2.91,overcast clouds
90,Port Alfred,ZA,-33.5906,26.891,68.77,91,95,5.75,overcast clouds
91,Kapaa,US,22.0752,-159.319,68.0,77,90,11.5,light rain
92,Westport,US,41.1415,-73.3579,66.99,63,75,8.05,broken clouds
93,Torbay,CA,47.6666,-52.7314,32.0,93,90,19.57,snow
94,Bitam,GA,2.076,11.5007,71.62,94,97,2.64,moderate rain
95,Salgueiro,BR,-8.0742,-39.1192,89.96,34,100,11.81,overcast clouds
96,Terney,RU,45.0503,136.6092,38.32,64,12,4.83,few clouds
97,Avera,US,33.194,-82.5271,75.2,64,40,10.36,scattered clouds
98,Olafsvik,IS,64.8945,-23.7142,38.41,92,100,12.71,overcast clouds
99,Warmbad,NA,-28.45,18.7333,87.71,17,0,8.46,clear sky
100,Ponta Do Sol,PT,32.6667,-17.1,66.99,67,53,4.0,broken clouds
101,Baiyin,CN,36.5583,104.2081,44.01,93,100,8.95,overcast clouds
102,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,11.5,broken clouds
103,Morgan City,US,29.6994,-91.2068,69.8,88,1,4.61,clear sky
104,Cururupu,BR,-1.8283,-44.8683,85.39,61,23,7.67,few clouds
105,Novyy Urengoy,RU,66.0833,76.6333,31.78,87,100,9.8,overcast clouds
106,Yatou,CN,37.15,122.3833,46.89,88,96,7.54,overcast clouds
107,Tigil,RU,57.8,158.6667,-3.91,99,89,2.04,overcast clouds
108,Qaanaaq,GL,77.484,-69.3632,20.82,86,100,8.79,light snow
109,Husavik,IS,66.0449,-17.3389,35.6,38,0,6.91,clear sky
110,Provideniya,RU,64.3833,-173.3,-1.66,87,100,22.01,overcast clouds
111,Khatanga,RU,71.9667,102.5,4.62,89,98,5.77,overcast clouds
112,Luderitz,NA,-26.6481,15.1594,75.88,49,0,7.11,clear sky
113,Tarko-Sale,RU,64.9225,77.785,34.61,81,100,12.75,overcast clouds
114,Narsaq,GL,60.9167,-46.05,44.6,61,20,8.05,few clouds
115,Agropoli,IT,40.3469,14.9966,57.0,71,54,1.01,broken clouds
116,Saint-Philippe,RE,-21.3585,55.7679,80.6,65,90,3.44,light rain
117,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,47,0,18.41,clear sky
118,Taoudenni,ML,22.6783,-3.9836,97.03,9,3,10.69,clear sky
119,Lebu,CL,-37.6167,-73.65,57.63,68,5,13.15,clear sky
120,Cianorte,BR,-23.6633,-52.605,89.6,33,0,5.75,clear sky
121,Nokaneng,BW,-19.6667,22.2667,72.36,29,0,6.93,clear sky
122,Barrow,US,71.2906,-156.7887,-13.0,77,20,11.5,few clouds
123,Tabou,CI,4.423,-7.3528,82.2,79,100,12.08,overcast clouds
124,Marienburg,PL,54.0359,19.0266,44.01,78,100,4.9,overcast clouds
125,Waipawa,NZ,-41.4122,175.5153,66.0,88,75,21.85,broken clouds
126,Almunecar,ES,36.7339,-3.6907,60.01,84,46,1.99,scattered clouds
127,Ixtapa,MX,20.7,-105.2,80.6,69,1,9.22,clear sky
128,Okhotsk,RU,59.3833,143.3,22.51,93,100,8.46,light snow
129,Georgetown,MY,5.4112,100.3354,80.01,89,40,2.48,scattered clouds
130,Tiksi,RU,71.6872,128.8694,-18.33,99,69,5.39,broken clouds
131,Atuona,PF,-9.8,-139.0333,80.55,75,77,18.63,broken clouds
132,Bubaque,GW,11.2833,-15.8333,77.63,71,7,13.18,clear sky
133,Kaitangata,NZ,-46.2817,169.8464,57.0,75,100,1.99,overcast clouds
134,Emerald,AU,-23.5333,148.1667,69.8,52,58,3.44,light rain
135,Porto Novo,BJ,6.4965,2.6036,86.0,74,40,10.36,scattered clouds
136,Komsomolskiy,UZ,40.4272,71.7189,55.4,50,0,4.61,clear sky
137,Farmington,US,36.7281,-108.2187,64.99,16,1,3.44,clear sky
138,Areosa,PT,41.7178,-8.8571,60.8,82,75,6.91,broken clouds
139,North Myrtle Beach,US,33.816,-78.68,73.0,78,75,9.22,broken clouds
140,Zimovniki,RU,47.1483,42.4633,47.55,87,100,10.54,overcast clouds
141,Pingdingshan,CN,33.7385,113.3012,50.72,66,73,3.6,light rain
142,Ghanzi,BW,-21.5667,21.7833,73.15,33,1,7.2,clear sky
143,Pundaguitan,PH,6.3711,126.1689,81.05,77,99,8.9,overcast clouds
144,Felipe Carrillo Puerto,MX,19.5833,-88.05,95.4,40,66,9.33,broken clouds
145,Wetaskiwin,CA,52.9668,-113.3687,44.6,39,100,12.66,overcast clouds
146,Tiznit,MA,29.5833,-9.5,60.46,70,5,12.95,clear sky
147,Palmares Do Sul,BR,-30.2578,-50.5097,85.66,47,100,5.48,overcast clouds
148,Alyangula,AU,-13.8483,136.4192,71.6,100,84,9.01,broken clouds
149,General Pico,AR,-35.6566,-63.7568,53.13,90,100,24.87,overcast clouds
150,Vanimo,PG,-2.6741,141.3028,77.25,89,100,7.58,light rain
151,Mogadishu,SO,2.0371,45.3438,83.03,74,70,13.71,broken clouds
152,Aleksandrovka,UA,46.8383,32.7612,48.2,53,0,3.44,clear sky
153,Udachnyy,RU,66.4167,112.4,-17.39,100,22,5.82,few clouds
154,Beringovskiy,RU,63.05,179.3167,5.52,93,100,19.82,light snow
155,Hamilton,US,39.1834,-84.5333,64.99,77,90,9.22,moderate rain
156,Toro,CO,4.6117,-76.0814,77.0,65,40,8.05,scattered clouds
157,Douglas,US,41.3,-96.167,55.4,54,40,10.36,scattered clouds
158,New Norfolk,AU,-42.7826,147.0587,44.01,77,98,1.99,light rain
159,Hithadhoo,MV,-0.6,73.0833,83.77,67,84,11.88,broken clouds
160,Dharchula,IN,29.85,80.5333,59.09,22,46,8.93,scattered clouds
161,Monrovia,LR,6.3005,-10.7969,84.2,79,75,4.61,broken clouds
162,Atambua,ID,-9.1061,124.8925,71.38,82,56,2.66,broken clouds
163,Ankang,CN,32.68,109.0172,58.82,71,100,3.24,moderate rain
164,Nioro,GM,13.35,-15.75,103.87,10,3,5.41,clear sky
165,Copiapo,CL,-27.3667,-70.3333,68.0,60,0,6.91,clear sky
166,Teknaf,BD,20.8624,92.3058,76.28,90,21,5.77,few clouds
167,Duldurga,RU,50.6761,113.5931,29.5,44,68,8.19,broken clouds
168,Mino,JP,34.8269,135.4706,46.99,90,73,1.99,broken clouds
169,Hakkari,TR,37.5833,44.1667,47.28,76,59,2.89,broken clouds
170,Taltal,CL,-25.4,-70.4833,68.31,71,95,6.08,overcast clouds
171,Bengkulu,ID,-3.8004,102.2655,76.08,89,100,4.09,overcast clouds
172,Bogorodskoye,RU,56.55,37.8833,37.49,73,16,8.79,few clouds
173,Meiganga,CM,6.5167,14.3,69.91,79,100,2.17,overcast clouds
174,Talnakh,RU,69.4865,88.3972,31.75,99,100,5.57,snow
175,Orchard Homes,US,46.8633,-114.0484,48.0,56,90,18.41,light rain
176,Troitsko-Pechorsk,RU,62.7084,56.1964,32.34,95,7,7.07,clear sky
177,Iracoubo,GF,5.4802,-53.2011,81.86,73,48,6.76,light rain
178,East London,ZA,-33.0153,27.9116,68.0,94,0,2.3,clear sky
179,Lagoa,PT,39.05,-27.9833,59.68,93,100,23.29,overcast clouds
180,Wamba,NG,8.9333,8.6,90.5,32,95,3.91,overcast clouds
181,Camana,PE,-16.6228,-72.7111,72.5,73,94,9.71,overcast clouds
182,Poco Das Trincheiras,BR,-9.3125,-37.2856,85.87,46,100,14.54,overcast clouds
183,Pevek,RU,69.7008,170.3133,-26.01,98,80,2.68,broken clouds
184,Yinchuan,CN,38.4681,106.2731,48.0,69,100,4.47,overcast clouds
185,Pachino,IT,36.7186,15.0907,55.4,67,64,4.61,broken clouds
186,Portland,US,45.5234,-122.6762,48.0,61,90,18.41,overcast clouds
187,Kashmor,PK,28.4333,69.5833,86.58,9,40,7.74,scattered clouds
188,Souillac,MU,-20.5167,57.5167,78.8,78,40,11.5,scattered clouds
189,Castro,BR,-24.7911,-50.0119,78.4,38,2,2.08,clear sky
190,Abdanan,IR,32.9926,47.4198,67.57,35,66,10.98,broken clouds
191,Gat,IL,31.61,34.7642,59.0,57,31,1.01,scattered clouds
192,Ahipara,NZ,-35.1667,173.1667,62.96,94,23,0.74,few clouds
193,Kodiak,US,57.79,-152.4072,28.4,69,90,4.18,overcast clouds
194,Kosh-Agach,RU,50.0,88.6667,20.34,66,3,4.65,clear sky
195,Kochubey,RU,44.3861,46.5825,52.66,66,90,11.74,overcast clouds
196,Nome,US,64.5011,-165.4064,7.0,47,75,14.97,broken clouds
197,La Rioja,ES,42.25,-2.5,57.2,77,75,9.22,broken clouds
198,Geraldton,AU,-28.7667,114.6,77.0,47,90,20.71,overcast clouds
199,Dikson,RU,73.5069,80.5464,18.88,94,56,13.56,broken clouds
200,Okoneshnikovo,RU,54.8377,75.0834,32.41,91,89,7.76,overcast clouds
201,Cape Town,ZA,-33.9258,18.4232,66.2,77,0,12.66,clear sky
202,Azangaro,PE,-14.9167,-70.2167,59.0,51,75,8.05,broken clouds
203,Accra,GH,5.556,-0.1969,86.0,70,40,11.5,scattered clouds
204,Leningradskiy,RU,69.3833,178.4167,-16.6,99,100,2.26,overcast clouds
205,Guane,CU,22.2025,-84.0875,87.31,57,70,16.62,broken clouds
206,Mayo,US,38.8876,-76.5119,69.01,100,1,10.36,clear sky
207,Henties Bay,NA,-22.116,14.2845,73.99,64,0,5.99,clear sky
208,Rawson,AR,-43.3002,-65.1023,68.83,37,3,17.4,clear sky
209,Russell,US,32.3502,-85.1999,64.99,94,90,8.05,overcast clouds
210,Salinas,US,36.6777,-121.6555,55.4,58,40,9.22,scattered clouds
211,Necochea,AR,-38.5473,-58.7368,64.99,83,99,5.01,light rain
212,Kupang,ID,-10.1667,123.5833,76.68,87,8,1.25,clear sky
213,Tipuani,BO,-15.5648,-68.0185,80.04,79,100,2.37,overcast clouds
214,La Libertad,EC,-2.2333,-80.9,82.4,78,0,6.91,clear sky
215,Kinshasa,CD,-4.3246,15.3215,89.6,55,20,6.91,few clouds
216,Michigan City,US,41.7075,-86.895,64.99,67,90,12.39,moderate rain
217,Esso,RU,55.9333,158.7,1.09,92,21,8.39,few clouds
218,Mahibadhoo,MV,3.7833,72.9667,83.05,74,22,9.24,few clouds
219,Mirabad,AF,30.4362,61.8383,86.13,8,42,8.59,scattered clouds
220,Riyadh,SA,24.6877,46.7219,95.0,9,40,6.91,light rain
221,Muros,ES,42.7762,-9.0603,57.99,80,99,6.15,overcast clouds
222,Praya,CV,14.9215,-23.5087,77.0,65,20,20.71,few clouds
223,Gisborne,NZ,-38.6533,178.0042,69.01,76,57,1.01,broken clouds
224,Kangavar,IR,34.5043,47.9653,58.95,39,64,3.31,broken clouds
225,Ballina,AU,-28.8667,153.5667,64.4,77,7,4.61,clear sky
226,Sovetskoye,RU,52.2861,85.4131,23.58,97,55,2.53,broken clouds
227,Codrington,AU,-38.2667,141.9667,50.63,65,98,27.63,overcast clouds
228,Newry,GB,54.1784,-6.3374,44.01,64,100,3.0,overcast clouds
229,Mabay,PH,6.0577,124.4666,77.86,84,100,6.02,overcast clouds
230,Ormara,PK,25.2088,64.6357,79.95,71,0,14.07,clear sky
231,Oxbow,CA,49.2333,-102.1676,61.0,26,13,7.0,few clouds
232,Krasnopavlivka,UA,49.1372,36.3272,46.0,53,42,7.2,scattered clouds
233,Nizhniy Kuranakh,RU,58.8353,125.4869,1.53,98,84,3.96,broken clouds
234,Klaksvik,FO,62.2266,-6.589,30.2,55,40,11.5,light snow
235,Kahului,US,20.8947,-156.47,66.2,88,20,8.01,few clouds
236,Bilibino,RU,68.0546,166.4372,-13.92,84,99,5.28,overcast clouds
237,Nevel,RU,56.0209,29.9284,44.65,87,100,6.31,light rain
238,Fort Nelson,CA,58.8053,-122.7002,10.4,67,90,11.5,snow
239,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,75,5.75,broken clouds
240,Libin,BE,49.9833,5.2833,48.99,98,100,10.49,overcast clouds
241,Ambulu,ID,-8.345,113.6058,76.33,90,31,2.77,scattered clouds
242,Altay,CN,47.8667,88.1167,37.08,38,0,8.08,clear sky
243,Lorengau,PG,-2.0226,147.2712,80.47,82,100,15.03,moderate rain
244,Deputatskiy,RU,69.3,139.9,-23.89,95,8,2.28,clear sky
245,Pangnirtung,CA,66.1451,-65.7125,15.8,86,90,1.68,overcast clouds
246,Onokhoy,RU,51.932,108.0747,32.0,59,20,5.37,few clouds
247,Tagusao,PH,9.1924,117.8141,78.91,81,84,3.49,light rain
248,Heihe,CN,50.2441,127.4902,35.6,80,20,6.71,few clouds
249,Victoria,HK,22.2855,114.1577,71.01,79,15,1.01,few clouds
250,Kanniyakumari,IN,8.0833,77.5667,82.56,72,2,5.28,clear sky
251,Eyl,SO,7.9803,49.8164,80.15,66,6,11.7,clear sky
252,Bonneville,FR,46.0802,6.4073,57.2,54,0,2.3,clear sky
253,Upernavik,GL,72.7868,-56.1549,20.59,82,100,9.42,overcast clouds
254,Bristol,US,41.8334,-71.1662,73.99,52,1,6.91,clear sky
255,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,45,40,4.61,scattered clouds
256,Makakilo City,US,21.3469,-158.0858,69.01,72,1,3.44,clear sky
257,Korgen,NO,66.0771,13.8153,34.0,91,99,5.32,light snow
258,Mormugao,IN,15.4,73.8,81.57,73,44,9.15,scattered clouds
259,Havelock,US,34.8791,-76.9013,78.8,61,40,8.05,scattered clouds
260,Hibbing,US,47.4272,-92.9377,42.8,75,90,11.5,overcast clouds
261,Broome,US,42.2506,-75.833,73.0,58,68,1.99,broken clouds
262,Bathsheba,BB,13.2167,-59.5167,80.6,65,20,9.22,volcanic ash
263,Thinadhoo,MV,0.5333,72.9333,83.59,70,93,12.19,overcast clouds
264,Sao Desiderio,BR,-12.3633,-44.9733,88.54,34,100,6.35,moderate rain
265,Ugoofaaru,MV,5.6667,73.0,83.52,66,68,1.97,broken clouds
266,Ajdabiya,LY,30.7554,20.2263,64.06,36,72,6.93,broken clouds
267,Bereda,ES,43.2686,-7.5406,52.0,100,100,5.01,light rain
268,Sibi,PK,29.5448,67.8764,84.65,10,14,1.54,few clouds
269,Ayagoz,KZ,47.9714,80.4392,40.01,59,2,13.96,clear sky
270,Vermilion,US,40.1667,-87.7506,64.99,69,99,13.0,overcast clouds
271,Vyazemskiy,RU,47.5378,134.7525,42.94,40,33,11.05,scattered clouds
272,Quebo,GW,11.3333,-14.9333,88.32,39,7,12.82,clear sky
273,Camacha,PT,33.0833,-16.3333,66.2,82,40,11.5,scattered clouds
274,Oranjemund,NA,-28.55,16.4333,61.97,84,38,5.14,scattered clouds
275,Doka,SD,13.5167,35.7667,97.12,15,90,15.03,overcast clouds
276,Manoel Urbano,BR,-8.8389,-69.2597,83.44,67,99,5.12,overcast clouds
277,Fare,PF,-16.7,-151.0167,81.66,71,77,11.23,broken clouds
278,Kiruna,SE,67.8557,20.2251,24.8,46,40,6.91,scattered clouds
279,Sao Filipe,CV,14.8961,-24.4956,77.0,60,6,9.71,clear sky
280,Bend,US,44.0582,-121.3153,46.0,42,40,10.36,scattered clouds
281,Quzhou,CN,28.9594,118.8686,57.04,76,100,5.44,light rain
282,Mehamn,NO,71.0357,27.8492,28.36,75,93,17.38,overcast clouds
