City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Fare,PF,81.66,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
279,Sao Filipe,CV,77.0,clear sky,14.8961,-24.4956,Tortuga B&B
289,Nowshera,PK,75.2,haze,34.0058,71.9977,Dinyat Gul House
293,Dingle,PH,75.54,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
294,Caravelas,BR,81.73,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
295,Toamasina,MG,78.8,light rain,-18.1667,49.3833,Hotel H1
296,Morondava,MG,79.88,broken clouds,-20.2833,44.2833,La Case Bambou
298,Camocim,BR,82.08,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
300,Singaraja,ID,78.82,clear sky,-8.112,115.0882,Puri Bagus Lovina Resort
302,Carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
304,Araguari,BR,78.8,few clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
305,Meulaboh,ID,78.01,overcast clouds,4.1363,96.1285,Kost Pria
308,Olinda,BR,78.8,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
309,Isangel,VU,77.18,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
311,Padang,ID,77.0,scattered clouds,-0.9492,100.3543,Mercure Padang
312,Port Moresby,PG,75.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
315,Carauari,BR,86.07,overcast clouds,-4.8828,-66.8958,Hotel Fellip
316,Kavaratti,IN,82.99,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
317,Nouadhibou,MR,75.2,sand,20.931,-17.0347,El Medina
318,San Andres,CO,86.0,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
319,Mangrol,IN,79.84,clear sky,21.1167,70.1167,Hotel The Royal Honours
322,Alugan,PH,78.71,overcast clouds,12.2188,125.4808,JM Lodge
323,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
331,Topolobampo,MX,75.2,scattered clouds,25.6,-109.05,Hotel Marina Topolobampo
332,Ojinaga,MX,77.0,clear sky,29.5667,-104.4167,Suites Las Palmas
334,Veraval,IN,79.59,clear sky,20.9,70.3667,Lords Inn Somnath
337,Farafangana,MG,76.33,broken clouds,-22.8167,47.8333,Miarina
340,Lockhart,US,90.0,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
343,Balurghat,IN,81.32,clear sky,25.2167,88.7667,"Circuit House, Balurghat"
344,Vila Do Maio,CV,78.8,few clouds,15.1333,-23.2167,Residence 'I Delfini'
350,Salalah,OM,82.4,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
354,Talara,PE,87.8,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
356,Ocos,GT,89.6,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
357,Bangkalan,ID,78.8,scattered clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
358,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
359,Khipro,PK,88.95,clear sky,25.8285,69.3772,Raja Hotel
362,Grand Gaube,MU,80.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
363,Faanui,PF,81.9,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
365,Matipo,BR,76.21,clear sky,-20.2839,-42.3411,República DNA - Matipó MG
368,Saint-Pierre,RE,80.6,light rain,-21.3393,55.4781,Lindsey Hôtel
